document_id,text,category,date
JDG-1914-01-01-Ar00212,"BUREAU CENTRAL mÉTÉÔttOLOSlQUË Zurich, 31 décembre. Le baromètre a encore remont. ' ' des deux côtés des Alpes et surtout dans l'ouest; la dépression principal est restreinte à l'est t au sud de l'Europe; S'His son influence la neige contin e à tomber, un P partout au nord des Alpes; la température est devenue basse da s notre pays, surtout dans le stations élév es, à la suite d'abondantes chut s de neige. T mps probable: froid avec, bise et ci £ l variab e. Pressions: 753 Lésina; 755 Moscou, Brcslau, Suli. ha; 755 Trie te, LLvoiirne, Toulon, Rome, Durazzo; 760 Dorpàt,- Swihemuènde, Leipzig, Passau, Gothard,. Marseille, Alger; 765 Bronpô, Haparanda, \ Vi by, Kaise slaut'rn Clermont,. Toulouse; 770 îles Shetland, CHristiànà, tttrefcht, Lorie. it; 755 Edimbourg, Rôcltespoint,- Londres... ^. «. VMt... ' », '.. < JB 8 ÉRVAfO! F? £ Pécembj 2, 5 26 | ""il \ & i J SO [ 80 J aTjpécc. T. O TO 7 ÏO 715 71 '! 705 1. IU 736 30 < K TOI 7 ( 5 710 7 TO Température en degrés centigrades >« -c * f » hr < / ii tr. atti-. h. soir 7 h. soi * Hniraiiiti tf aiîratm! AC 26 -4 l 18 -20 -57 48 C 7 fi 10 G 7 'J -40 118 66 28 ~ "" 5 G 56 2 4 1 8 88 • 29 -Os 4 fi 20 as 48 67 30 -fti -17 14 34 02 63 31 f 9",Le temps qu'il fait,1914-01-01
JDG-1914-01-04-Ar00312,"BUREAU CENTRAL METEOROLOGIQUE Zurich, 3 janvier. Le minimum creux du nord se transporte brusquement au sud-est vers l'intérieur de la Russie; les pressions restent fortes dans tout l'ouest jusqu'à la région des Alpes avec petite baisse au sud de la ligne de faîte; des perturbations existent dans la région baltique et dans l'est de l'Allema gne, de sorte que la nébulosité est forte au nord des Alpes, avec chutes de neige par zones; la température est presque partout un peu inférieure à zéro dans les parties basses, et les gelées se 'sont propagées depuis hier jusqu'en Italie et dans le midi de la France. Temps probable: brumeux; température au / éro; pas de neiges notables. Pressions: 738 Pétersbourg; 7. 10 Hel singfors, Smolensk; 750 Pitea, Liban, Kief 755 Drontheim, Carlsham, Lemberg; 760 Àalesund, Copenhague, Olmuetz, Odessa 705 îles Shetland, Hambourg, Prague, Vienne, Hermannstadt; 770 le Helder, Munich, Gothard, cap Sicié; 775 Bristol, iled'Aîx Tours, Lyon, Saragosse; 778 Clermont. OBSERVATOIRE ttt. QENF. Vg Décernbj iil i;> t ) | 3 l | j 740 783 730 7 SO 715 710 705 2 | 3; Janv 740 755 7 KI ïiUo Température en degrés centigrades i; h. raatiu i h. soir 9 h. s. oli Minimum Maximum -02 -16 -19 -20 -35 4 G 67 -1 7 -17 -14 ' -Si -02 -21 Fractions de saturation ( humidité ) 7 h. matin s h. soir 9 h. soir Eautontbit. 97, 59 80;. 87 SS 80 2. 0. 111. 93. 97 m. M.",Le temps qu'il fait,1914-01-04
GDL-1914-01-05-Ar00213,"Mtets aéruplanett jf / Htr l'armée. Par suite de nouveaux dons, la collecta faite en faveur de l'aviation militaire par notre ministre à Buenos-Aires, M. Alphonse Dunant, auprès des colonies suisses en Argentine, en Uruguay et au Paraguay, a rapporté une somme totale de 39, 376 fr. 70 cent. EXPORTATIONS Saint-Gall, 2 janvier. Les exportations du district consulaire de Saint-Gall aux Etats-Unis sont tombée * en 1913 à 62, 124, 806 fr. Elles avaient &*• teint en 1912: 70, 500, 000 fr. La diminution porte sur la broderie.",Chronique militaire,1914-01-05
GDL-1914-01-05-Ar00305,"Crédit foncier suisse, Zurich; Banque hypothécaire de Thurgovie, Frauenfeld. En vertu d'un contrat conclu entre les Conseils d'administration do ces deux établissements et sous réserve de l'approbation des assemblées générales des dites sociétés, le Crédit foncier suisse a repris l'actif et le passif de la Banqno hypothécaire de Thurgovie à dater du 31 décembre, et donno eu échange 12 millions de francs de ses actious, soit 24, 000 actions nouvelles, jouissance dividende alîérant à l'exercice 1914, ot un montant de 3, 060, 000 fr. en espèces ( soit 9 francs par action de la Banque hypothécaire de Thurgovie ). Le Conseil d'administration de la Banque hypothécaire de Thurgovie répartira ces actions et ce montant espèces entre sos actionnaires à raison de trois actions Crédit foncier suisse pour cinq actions Banque hypothécaire de Thurgovie. Ces dernières toucheront encore une soulto do 9 fr. par action au lieu et piaco do dividende pour l'exercice 1913. Eu cas de besoin, il sera délivré provisoirement des cinquièmes d'action Crédit foncier suisse. Le Crédit foncier suisse érige à Frauenfeld uno succursale avec agences à Arbon, Kreuzlingen, Romanshoru, Weinfelden, qui seront placées sous la surveillance générale d'un comité local à Frauenfeld. La direction et tout le personnel de la Banque hypothécaire de Thurgovie passent au service du Crédit foncier suisse. Grand Garage Majestic, S. A. Sous celte raison sociale, il a été créé une S. A., ayant son siège à Lausanue, qui a pour but l'exploitation d'un garage d'automobiles avec atelier de réparations. Capital 20, 000",Chronique financière,1914-01-05
GDL-1914-01-08-Ar00211,"ÏJC colonel NKoser. Le colonel bernois W. Moser, cominan dant de la 7 brigade d'infanterie, a été mis à disposition au commencement do cettt année. Le bruit se répandit que cette mesure était due à des actes d'indiscipline. Au cours des récentes manœuvres, le colonel Moser se serait, disait-on, insurge contre les critiques du divisionnaire Wildbolz et y aurait répondu dans un toast prononcé à un banquet d'officiers. Certains journaux s'emparèrent de ces bruits et une polémique s'engagea, les uns prenant parti pour lo colonel Moser, les autres pour le colonel Wildbolz. Or, ce dernier vient'd'adresser au Bunà une lettre dans laquelle il déclare catégoriquement ces diverses affirmations contraires à la vérité. Le colonel Moser songeait depuis une année à se démettre d'un commandement que ses occupations civiles ne lui permeitaient plu 3 de garder. C'est lui » même qui, à la fin de l'année 1913, demanda à en être déchargé; l'autorité supérieure a acquiescé à sa demande. f, c t'éaintettt valaisan. La protestation du gouvernement valalsan contre l'exclusion des officiers supérieurs de co canton vise la nominatiop récente du lieutenant-colonel Vuillcumïer au commandement du régiment valaisan. Le Conseil fédéral a toujours envisagé que, dans la règle, les troupes doivent être commandées par des officiers de leur canton, mais pareille considération ne peut primer, cela va sans dire, celles tirées des aptitudes de 3 officiers. C'est en s'inspirant de ce principe que le Conseil fédéral, d'aocord avec la commission de la défense nationale, a procédé à la nomination du chei",Chronique militaire,1914-01-08
GDL-1914-01-08-Ar00307,"TRIBUNAL FÉDÉRAL Interdiction. Droit de recours au Tribunal fédéral. Il y a une année déjà, dans un arrêt Huber, du 21 novembre 1912, qui fit quelque bruit, le Tribunal fédéral posait en principe que la voie du recours de droit civil ( art. 86, loi d'organisation judiciaire fédérale ) était ouverte seulement à celui qui pouvait prétendre que la décision cantonale attaquée impliquait la violation d'un droit lui appartenant, et que dès lors un tel recours ne pouvait être exercé en matière de tutelle contre un refus de prononcer une interdiction que si le requérant avait un droit à ce que l'interdiction fût prononcée, cette question devant d'ailleurs être examinée uniquement sur la base du code civil suisse. Le Tribunal fédéral avait ensuite estimé que, la procédure de mise sous tutelle ayant le caractère d'une procédure administrative officielle instruite ( d'office ou sur dénonciation ) dans l'intérêt de la personne à protéger, le seul droit privé en jeu était, en principe, le droit de la personne dont l'interdiction est demandée au respect de sa capacité civile; d'après lui, même dans les cantons où les parents ont qualité pour signaler à l'autorité les cas. d'interdiction ou pour demander l'interdiction d'un membre de leur famille, 11 s'agirait d'une simple délégation de pouvoirs, permettant sans doute aux parents d'agir aussi ( comme les organes de l'Etat ) dans l'intérêt de la personne à interdire, mais n'impliquant pas toutefois un droit personnel en vertu duquel ils puissent exiger la mise sous tutelle. H n'en",Chronique judiciaire,1914-01-08
JDG-1914-01-09-Ar00212,"BUREAU CENTRALMÉTÉOROLOGIQUE Zurich, 8 janvier. Le nouveau minimum signalé hier se trouve aujourd'hui au large des côtes occidentales de la Scandinavie et cause de nou veau des-tempêtes. de l'ouest sur la mer du Nord, avec température relativement élevée; le baromètre a encore monté plus au sud dans l'intérieur du continent jusqu'aux Alpes et daiis cette région le temps est presque. partout calme; toutefois on annonce encore ce matin des chutes de neige dans l'est de l'Europe centrale et dans le sud de l'Allemagne; la température est un peu inférieure à zéro; nos stations élevées annoncent un ciel fortement couvert et le Sœntis une chute de neige; le temps reste clair dans le Tessin. Temps probable: ciel variable; brumeux le matin; température vers zéro. 'Pressions: 740 Christiansund; 745 Dront:-heim, Florô, îles Shetland; 750 Bodô, Skudesnaes, Wick; 755 GeHivara, Skageii, Storndway; 755 Brindisi; 766 Uleatorg, Upsal, Fanô, Shields, Blacksod; 760 Bucarest, Lésina, Messine; 765 îles Scilly, 'le Helder, Swinemuende, Bromberg, Presbourg, Trieste, Cagliari; 770 Brest, Cologne, Prague, Passau, Gothard, Grenoble, Barcelone; 775 Zurich..",Le temps qu'il fait,1914-01-09
GDL-1914-01-13-Ar00400,"TRIBUNAL FÉDÉRAL ttft'm * en palet'nilé. Nou ^ avons signale à l'époque ( 1 ) uns décision rendue par le Tribunal féd rai le 1 "" octobre dernier touchant les conditions d'application de l'art. 315 C. G. S., aux termes duquel * l'action en paternité est rejetée lorsque la mère vivait dans l'inconduite à l'époque de la conception ». Dans une nouvelle espèce, jugée le 18 décembre 1913 le Tribunal fédéral a été amené à revenir encore sur cette question, à préciser et en quelque sorte à interpréter son point de vue. Daii 3 cette dernière allure, la présomption de paternité de l'art. 314 al. 1 C. C. 8. était établie à la charge du défendeur Walter S., sans contestation possible. Mais le défendeur avait soulevé d'emblée l'exception d'inconduite, soit de vie di solue, sur la base de l'art. 315, et la première instance cantonale lui avait donné raison; le Tribunal cantonal argovien, en revanche, estimant l'art. 315 applicable seulement si la paternité du défendeur apparaît comme absolument incertaine à raison de faits de cohabitation multij le à la charge de la mère de l'entant à l'époque de la conception et jugeant que la preuve de de tels laits n'existait pas en l'espèce, avait écarté l'exception, puis condamné en conséquence le défendeur à diverses prestations envers la mère tout en déclarant sa paternité envers l'enfant en application de l'art.: J 23 C. C. S. Sur recoins du défendeur, te Tribunal fédéral a 'oulefois déclaié la demande irrecevable, les faits de",Chronique judiciaire,1914-01-13
GDL-1914-01-14-Ar00300,"Four faire suite à noire chronique ^ du f > janvier, puisque aussi bien les statistiques sont d'usage à cette époque de l'année en matière financière, nous constaterons que les émissions ont été bien plus espacées sur notre place en 191 "" qu'en 1912. Les banques d'affaires, si tant est que nous en ayons, ou tout au moins les services de syndicats d'émission des banques, ont été réduites à la portion la plus congrue, et co n'est certainement pas de ce iôté-là que leur seront rentrés leurs bénéfices les plus importants. Le critérium de ce ralentissement nous est fourni par les introductions à la cote de Lausanne pendant l'année écoulée. Alors qu'en 1912 il avait été introduit 24 valeurs pour un montant total de 224 millions 500, 000 fr., chiffre comprenant, il est vrai, un emprunt de 83, 750, 000 fr. Chemins de fer fédéraux 4 % et le capital de 82 millions du Bankvcrein suisse, l'on a admis cette année 13 valeurs nouvelles pour un montant de 80, 400, 000 fr. dont voici la nomenclature: 1, 250, 000 fr. emprunt 5 % Société immobilière de l'avenue Glayre; 1, 000, 000 fr. ou 2000 actions nouvelles de 500 fr. Usines de Grandchamp et de Roche; 5, 500, 000 fr. emprunt 4 A % Ville de Lucerne, 1912; 550, 000 fr, emprunt 4 JU %, Chemin de fer Montreur - Oberland ( Zweisimmen-Lenk ); 1, 250, 000 fr. emprunt 5 % Usines de Grandchamp et de Roche; 12, 000, 000 fr.",Chronique financière,1914-01-14
JDG-1914-01-14-Ar00508,"BUREAU CENTRAL MÉTÉQROLO £ IQUE Zurich, 13 janvier. Les fortes pressions du nord se sont un peu affaiblies, niais se sont encore propa' - gécs davantage vers le sud-est; une dépression peu creuse persiste sur la Méditerranée occidentale. Les vents continuent à souffler généralement du nord au nord de la ligne de faîte des Alpes; il en est de même dans l'Italie moyenne et dans la région de l'Adriatique, où ils sont forts; la température est voisine de —10 ' ce matin dans les parties basses; on signale de nouvelles chutes de neige ce matin au pied septentrional dés Alpes, et le froid est vi £ sur les hauteurs du versant méridional de la chaîne aprèsles abondantes chutes de neige d'hier. Pressions: 760 Cagliari, Brindisi, Rome, cap Sicié, l'aima; 765 Saragosse, Grenoble, Trieste, Scutari; 765 Bodô, Pitea, Kern; 770 Bronnô, Umea, Onega; 770 Lorient, Paris, Munich, Brod, Constantinople: 775 Bristol, IHrecht, Hambourg, Bresla'u, Hcrmannstadt; 775 Drontheim, Hernoesand, Petros; 780 Bergen, Christiania, Shields; 782 Skudesnaes,",Le temps qu'il fait,1914-01-14
