document_id,text,category,date
doc-001,The compiler secures network traffic between data centres.,tech,2025-01-01
doc-002,The drought reshapes emissions targets in the treaty.,climate,2025-02-02
doc-003,The butter sauce softens the meat during a slow roast.,cooking,2025-03-03
doc-004,Our goalkeeper defeated the national squad during the season.,sport,2025-04-04
doc-005,The striker challenged the away team after extra time.,sport,2025-05-05
doc-006,The compiler replaces the encryption protocol in the library.,tech,2025-06-06
doc-007,Our goalkeeper challenged the away team after extra time.,sport,2025-07-07
doc-008,The database engine encrypts the software build and release process.,tech,2025-08-08
doc-009,The machine learning model secures queries against the large database.,tech,2025-09-09
doc-010,Record summer temperature reshapes the wheat harvest across dry regions.,climate,2025-10-10
doc-011,Coastal flooding threatens sea ice around the polar coast.,climate,2025-11-11
doc-012,Ripe tomatoes balances the bread before a long cold rise.,cooking,2025-12-12
doc-013,The young athlete challenged the away team after extra time.,sport,2025-01-13
doc-014,Toasted spices flavours the bread before a long cold rise.,cooking,2025-02-14
doc-015,The open source library speeds up network traffic between data centres.,tech,2025-03-15
doc-016,Melting glacier ice reshapes the energy grid during summer heat.,climate,2025-04-16
doc-017,The warming ocean endangers the regional climate and rainfall.,climate,2025-05-17
doc-018,The open source library monitors the software build and release process.,tech,2025-06-18
doc-019,Record summer temperature endangers the regional climate and rainfall.,climate,2025-07-19
doc-020,Rising carbon emissions endangers sea ice around the polar coast.,climate,2025-08-20
doc-021,Renewable energy growth reshapes emissions targets in the treaty.,climate,2025-09-21
doc-022,The young athlete scored against the league champion in the final match.,sport,2025-10-22
doc-023,Record summer temperature reshapes emissions targets in the treaty.,climate,2025-11-23
doc-024,A security patch encrypts the software build and release process.,tech,2025-12-24
doc-025,The compiler monitors the encryption protocol in the library.,tech,2025-01-25
doc-026,The warming ocean threatens water supply for farming villages.,climate,2025-02-26
doc-027,Her coach trained with the champion in the second half.,sport,2025-03-27
doc-028,The roast enriches the vegetables in the hot oven.,cooking,2025-04-01
doc-029,The slow dough browns the meat during a slow roast.,cooking,2025-05-02
doc-030,The tired squad challenged the champion in the second half.,sport,2025-06-03
doc-031,The league champion beat the cup holder in a tense match.,sport,2025-07-04
doc-032,Toasted spices enriches the broth with salt and herbs.,cooking,2025-08-05
doc-033,The striker beat the tournament favourite on penalties.,sport,2025-09-06
doc-034,The tired squad beat the league champion in the final match.,sport,2025-10-07
doc-035,Fresh basil seasons the vegetables in the hot oven.,cooking,2025-11-08
doc-036,The young athlete beat the champion in the second half.,sport,2025-12-09
doc-037,Our goalkeeper beat the national squad during the season.,sport,2025-01-10
doc-038,The league champion replaced the visiting club at the stadium.,sport,2025-02-11
doc-039,The warming ocean damages the energy grid during summer heat.,climate,2025-03-12
